Past,EVT,ACRES
Past Conifer,Agricultural,45749
Past Conifer,Conifer,328881
Past Conifer,Conifer-Hardwood,48603
Past Conifer,Developed,27523
Past Conifer,Developed,1767
Past Conifer,Developed,5989
Past Conifer,Developed,3191
Past Conifer,Developed,42198
Past Conifer,Developed,1171
Past Conifer,Exotics,27144
Past Conifer,Exotics,4732
Past Conifer,Grassland,175
Past Conifer,Hardwood,238640
Past Conifer,Riparian,86012
Past Conifer,Shrubland,2
Past Grassland,Agricultural,1
Past Grassland,Conifer,37
Past Grassland,Conifer-Hardwood,1
Past Grassland,Developed,12
Past Grassland,Developed,1
Past Grassland,Developed,0
Past Grassland,Developed,13
Past Grassland,Exotics,1
Past Grassland,Hardwood,16
Past Grassland,Riparian,21
Past Hardwood,Agricultural,149316
Past Hardwood,Conifer,139632
Past Hardwood,Conifer-Hardwood,65441
Past Hardwood,Developed,45036
Past Hardwood,Developed,1607
Past Hardwood,Developed,8536
Past Hardwood,Developed,3325
Past Hardwood,Developed,53447
Past Hardwood,Developed,1004
Past Hardwood,Exotics,27228
Past Hardwood,Exotics,6520
Past Hardwood,Grassland,84
Past Hardwood,Hardwood,1181434
Past Hardwood,Riparian,53585
Past Hardwood,Shrubland,76
Past Hardwood-Conifer,Agricultural,34667
Past Hardwood-Conifer,Conifer,214535
Past Hardwood-Conifer,Conifer-Hardwood,61384
Past Hardwood-Conifer,Developed,27181
Past Hardwood-Conifer,Developed,1700
Past Hardwood-Conifer,Developed,6191
Past Hardwood-Conifer,Developed,2924
Past Hardwood-Conifer,Developed,32571
Past Hardwood-Conifer,Developed,177
Past Hardwood-Conifer,Exotics,15476
Past Hardwood-Conifer,Exotics,2929
Past Hardwood-Conifer,Grassland,76
Past Hardwood-Conifer,Hardwood,280017
Past Hardwood-Conifer,Riparian,52963
Past Hardwood-Conifer,Shrubland,136
Past Riparian,Agricultural,13772
Past Riparian,Conifer,171007
Past Riparian,Conifer-Hardwood,6887
Past Riparian,Developed,12654
Past Riparian,Developed,126
Past Riparian,Developed,1643
Past Riparian,Developed,407
Past Riparian,Developed,9489
Past Riparian,Developed,4959
Past Riparian,Exotics,13389
Past Riparian,Exotics,2098
Past Riparian,Grassland,26
Past Riparian,Hardwood,133557
Past Riparian,Riparian,1794381
Past Riparian,Shrubland,4
